,60/40,BTC,ETH,HFs,PE,RealEstate,SG Macro,SG CTA,Commodities,Gold
1999-12-31,,,,,,,100.0,1000.0,,
2000-01-03,,,,,,,100.0,996.74,,
2000-01-04,,,,,,,100.0,986.991882,,
2000-01-05,,,,,,,100.0,984.159216,,
2000-01-06,,,,,,,100.0,982.397571,,
2000-01-07,,,,,,,100.0,977.014032,,
2000-01-10,,,,,,,100.0,979.759442,,
2000-01-11,,,,,,,100.0,993.505467,,
2000-01-12,,,,,,,100.0,996.257477,,
2000-01-13,,,,,,,100.0,994.693353,,
2000-01-14,,,,,,,100.0,1004.341878,,
2000-01-17,,,,,,,100.0,1006.300344,,
2000-01-18,,,,,,,100.0,1016.554544,,
2000-01-19,,,,,,,100.0,1013.433721,,
2000-01-20,,,,,,,100.0,1012.967542,,
2000-01-21,,,,,,,100.0,1011.053034,,
2000-01-24,,,,,,,100.0,1011.851766,,
2000-01-25,,,,,,,100.0,1011.659514,,
2000-01-26,,,,,,,100.0,1006.935064,,
2000-01-27,,,,,,,100.0,1014.617978,,
2000-01-28,,,,,,,100.0,1021.568112,,
2000-01-31,,,,,,,101.44671,1023.396719,,
2000-02-01,,,,,,,101.44671,1020.152551,,
2000-02-02,,,,,,,101.44671,1014.939572,,
2000-02-03,,,,,,,101.44671,1001.278486,,
2000-02-04,,,,,,,101.44671,1009.228637,,
2000-02-07,,,,,,,101.44671,1018.06948,,
2000-02-08,,,,,,,101.44671,1010.88191,,
2000-02-09,,,,,,,101.44671,1012.934001,,
2000-02-10,,,,,,,101.44671,1019.913116,,
2000-02-11,,,,,,,101.44671,1018.209861,,
2000-02-14,,,,,,,101.44671,1021.488497,,
2000-02-15,,,,,,,101.44671,1018.6079,,
2000-02-16,,,,,,,101.44671,1018.821807,,
2000-02-17,,,,,,,101.44671,1022.52013,,
2000-02-18,,,,,,,101.44671,1025.444538,,
2000-02-21,,,,,,,101.44671,1023.752553,,
2000-02-22,,,,,,,101.44671,1011.68251,,
2000-02-23,,,,,,,101.44671,1015.445969,,
2000-02-24,,,,,,,101.44671,1014.471141,,
2000-02-25,,,,,,,101.44671,1014.065352,,
2000-02-28,,,,,,,101.44671,1008.873338,,
2000-02-29,,,,,,,104.3779,1015.451192,,
2000-03-01,,,,,,,104.3779,1006.525376,,
